"sub","mapped_any","status_known","status","ts","reachable_from_runtime","runtime_depth","phase","priority_score","direct_callers","direct_mapped_callers","direct_runtime_callers","total_call_sites","mapped_call_sites","caller_sample"
"sub_444b50","no","no","","","no","","P3-unreached","24","4","0","0","24","0","sub_440d50, sub_4417c0, sub_4458e0, sub_44bfe0"
"sub_4344d0","no","no","","","no","","P3-unreached","23","10","0","0","23","0","sub_4392b0, sub_43b270, sub_43b5a0, sub_43b930, sub_43c070, sub_43c2f0, sub_43c650, sub_43ca00"
"sub_44dda0","no","no","","","no","","P3-unreached","23","22","0","0","23","0","sub_4426b0, sub_4428a0, sub_442ab0, sub_442ca0, sub_442e90, sub_443080, sub_443270, sub_443460"
"sub_4250d0","no","no","","","no","","P3-unreached","22","5","0","0","22","0","sub_41d000, sub_41e880, sub_4224f0, sub_426190, sub_4268e0"
"sub_437110","no","no","","","no","","P3-unreached","22","8","0","0","22","0","sub_431990, sub_432820, sub_432a80, sub_432f30, sub_433c90, sub_434a80, sub_4350d0, sub_4361b0"
"sub_406ae0","no","no","","","no","","P3-unreached","21","1","0","0","21","0","sub_403c50"
"sub_406c20","no","no","","","no","","P3-unreached","21","21","0","0","21","0","sub_471ec0, sub_471ed0, sub_471ee0, sub_471ef0, sub_471f00, sub_471f10, sub_471f20, sub_471f30"
"sub_419310","no","no","","","no","","P3-unreached","21","15","0","0","21","0","sub_4245e0, sub_427400, sub_427750, sub_428830, sub_42b4f0, sub_436890, sub_43d1b0, sub_43dc90"
"sub_428650","no","no","","","no","","P3-unreached","20","17","0","0","20","0","sub_41ff90, sub_426cb0, sub_427400, sub_427980, sub_4283d0, sub_429bf0, sub_4383e0, sub_4392b0"
"sub_44a1d0","no","no","","","no","","P3-unreached","20","3","0","0","20","0","sub_447780, sub_447d10, sub_449180"
"sub_42b3d0","no","no","","","no","","P3-unreached","19","18","0","0","19","0","sub_421960, sub_426c00, sub_426cb0, sub_426e40, sub_427400, sub_427cb0, sub_4283d0, sub_42c6b0"
"sub_42fe50","no","no","","","no","","P3-unreached","19","1","0","0","19","0","sub_438b90"
"sub_41cb10","no","no","","","no","","P3-unreached","18","1","0","0","18","0","sub_41c3d0"
"sub_430950","no","no","","","no","","P3-unreached","16","7","0","0","16","0","sub_42e630, sub_432a80, sub_432f30, sub_433c90, sub_434a80, sub_4350d0, sub_4361b0"
"sub_430c90","no","no","","","no","","P3-unreached","16","7","0","0","16","0","sub_42eb50, sub_432a80, sub_432f30, sub_433c90, sub_434a80, sub_4350d0, sub_4361b0"
"sub_41b9c0","no","no","","","no","","P3-unreached","15","7","0","0","15","0","sub_41d000, sub_41e880, sub_4208d0, sub_4267b0, sub_4268e0, sub_427250, sub_43ac20"
"sub_42fba0","no","no","","","no","","P3-unreached","15","2","0","0","15","0","sub_403c50, sub_438b90"
"sub_4328a0","no","no","","","no","","P3-unreached","15","7","0","0","15","0","sub_404c10, sub_406d10, sub_42fae0, sub_42fba0, sub_42fc70, sub_42fd50, sub_43edc0"
"sub_435650","no","no","","","no","","P3-unreached","15","8","0","0","15","0","sub_435790, sub_4357d0, sub_435a60, sub_435ae0, sub_435d40, sub_435f40, sub_4361b0, sub_436890"
"sub_41e880","no","no","","","no","","P3-unreached","14","10","0","0","14","0","sub_41dd60, sub_41e0b0, sub_41e700, sub_4208d0, sub_422750, sub_425b80, sub_425e90, sub_4267b0"
"sub_41f750","no","no","","","no","","P3-unreached","13","12","0","0","13","0","sub_41ba20, sub_41e880, sub_41ff90, sub_426c00, sub_426cb0, sub_427f30, sub_428830, sub_429bf0"
"sub_43f5c0","no","no","","","no","","P3-unreached","13","2","0","0","13","0","sub_406400, sub_4417c0"
"sub_447710","no","no","","","no","","P3-unreached","13","4","0","0","13","0","sub_444ff0, sub_446c70, sub_4473b0, sub_4490d0"
"sub_4193d0","no","no","","","no","","P3-unreached","12","8","0","0","12","0","sub_4192d0, sub_427980, sub_427cb0, sub_42e630, sub_42eb50, sub_436890, sub_436d90, sub_43ef30"
"sub_41b680","no","no","","","no","","P3-unreached","12","2","0","0","12","0","sub_41e880, sub_427250"
"sub_428190","no","no","","","no","","P3-unreached","12","8","0","0","12","0","sub_419520, sub_41e880, sub_4208d0, sub_422750, sub_425b80, sub_425e90, sub_4268e0, sub_43ef30"
"sub_434d20","no","no","","","no","","P3-unreached","12","6","0","0","12","0","sub_433400, sub_434c90, sub_434da0, sub_434e10, sub_435400, sub_437460"
"sub_436b30","no","no","","","no","","P3-unreached","12","6","0","0","12","0","sub_435650, sub_4361b0, sub_436e90, sub_436ed0, sub_436f60, sub_436ff0"
"sub_4256b0","no","no","","","no","","P3-unreached","11","7","0","0","11","0","sub_41e0b0, sub_41e700, sub_41e880, sub_4208d0, sub_421030, sub_422750, sub_422b80"
"sub_42f300","no","no","","","no","","P3-unreached","11","3","0","0","11","0","sub_403c50, sub_431990, sub_438b90"
"sub_44ab70","no","no","","","no","","P3-unreached","11","1","0","0","11","0","sub_440720"
"sub_44dba0","no","no","","","no","","P3-unreached","11","11","0","0","11","0","sub_4426b0, sub_4428a0, sub_442ab0, sub_442ca0, sub_442e90, sub_443080, sub_443270, sub_44a8c0"
"sub_44de80","no","no","","","no","","P3-unreached","11","11","0","0","11","0","sub_4426b0, sub_4428a0, sub_442ab0, sub_442ca0, sub_442e90, sub_443080, sub_443270, sub_44a8c0"
"sub_4019f0","no","no","","","no","","P3-unreached","10","10","0","0","10","0","sub_401bf0, sub_401c90, sub_401cb0, sub_408850, sub_40d860, sub_410200, sub_412070, sub_412080"
"sub_41b4e0","no","no","","","no","","P3-unreached","10","1","0","0","10","0","sub_41e880"
"sub_41b510","no","no","","","no","","P3-unreached","10","5","0","0","10","0","sub_41d000, sub_41f5a0, sub_41ff90, sub_4208d0, sub_427250"
"sub_41cb90","no","no","","","no","","P3-unreached","10","1","0","0","10","0","sub_41c3d0"
"sub_431020","no","no","","","no","","P3-unreached","10","6","0","0","10","0","sub_42e630, sub_432820, sub_432a80, sub_432f30, sub_433c90, sub_4361b0"
"sub_434a20","no","no","","","no","","P3-unreached","10","2","0","0","10","0","sub_4346f0, sub_434800"
"sub_4374e0","no","no","","","no","","P3-unreached","10","4","0","0","10","0","sub_4392b0, sub_43b930, sub_43c070, sub_43ca00"
"sub_4375d0","no","no","","","no","","P3-unreached","10","9","0","0","10","0","sub_41c130, sub_4208d0, sub_422750, sub_4250d0, sub_435450, sub_435ee0, sub_4361b0, sub_4370c0"
"sub_437720","no","no","","","no","","P3-unreached","10","4","0","0","10","0","sub_427400, sub_43db80, sub_43e120, sub_43e280"
"sub_443d30","no","no","","","no","","P3-unreached","10","1","0","0","10","0","sub_440720"
"sub_44a8c0","no","no","","","no","","P3-unreached","10","1","0","0","10","0","sub_440720"
"sub_4192d0","no","no","","","no","","P3-unreached","9","2","0","0","9","0","sub_427980, sub_427cb0"
"sub_4283d0","no","no","","","no","","P3-unreached","9","8","0","0","9","0","sub_41e0b0, sub_41e700, sub_4208d0, sub_425b80, sub_425e90, sub_4268e0, sub_426f10, sub_43b270"
"sub_4300a0","no","no","","","no","","P3-unreached","9","9","0","0","9","0","sub_406d10, sub_42fae0, sub_42fba0, sub_42fc70, sub_42fd50, sub_42fe50, sub_42ff00, sub_42ffb0"
"sub_431380","no","no","","","no","","P3-unreached","9","6","0","0","9","0","sub_42eb50, sub_432820, sub_432a80, sub_432f30, sub_433c90, sub_4361b0"
"sub_44a230","no","no","","","no","","P3-unreached","9","3","0","0","9","0","sub_447780, sub_447d10, sub_449180"
"sub_453af0","no","no","","","no","","P3-unreached","9","9","0","0","9","0","sub_4034c0, sub_4034d0, sub_44dcf0, sub_44dd30, sub_45283e, sub_4528fa, sub_455dc4, sub_455dcf"
"sub_419610","no","no","","","no","","P3-unreached","8","3","0","0","8","0","sub_41d000, sub_4208d0, sub_422750"
